"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.12.2023","6.197,77","6.249,47","6.289,65","6.180,56","","-0,83%"
"28.12.2023","6.249,47","6.201,66","6.294,18","6.201,66","","0,77%"
"27.12.2023","6.201,66","6.218,05","6.233,56","6.190,56","","-0,26%"
"26.12.2023","6.218,05","6.153,66","6.233,79","6.153,66","","1,05%"
"22.12.2023","6.153,66","6.107,78","6.156,38","6.100,05","","0,75%"
"21.12.2023","6.107,78","6.073,86","6.109,70","6.044,88","","0,56%"
"20.12.2023","6.073,86","6.060,44","6.095,89","6.057,56","","0,22%"
"19.12.2023","6.060,44","6.051,52","6.099,06","6.037,83","","0,15%"
"18.12.2023","6.051,52","6.138,10","6.191,67","6.051,46","","-1,41%"
"15.12.2023","6.138,10","6.146,59","6.207,37","6.135,08","","-0,14%"
"14.12.2023","6.146,59","6.020,41","6.150,83","6.020,41","","2,10%"
"13.12.2023","6.020,41","5.913,50","6.030,57","5.905,45","","1,81%"
"12.12.2023","5.913,50","5.884,78","5.915,56","5.866,83","","0,49%"
"11.12.2023","5.884,78","5.970,81","5.993,80","5.843,78","","-1,44%"
"07.12.2023","5.970,81","5.920,01","5.971,46","5.910,72","","0,86%"
"06.12.2023","5.920,01","5.905,31","5.943,32","5.898,47","","0,25%"
"05.12.2023","5.905,31","5.823,36","5.905,31","5.807,74","","1,41%"
"04.12.2023","5.823,36","5.886,71","5.888,30","5.823,36","","-1,08%"
"01.12.2023","5.886,71","5.818,51","5.889,28","5.788,56","","1,17%"
"30.11.2023","5.818,51","5.792,78","5.834,68","5.760,23","","0,44%"
"29.11.2023","5.792,78","5.776,56","5.809,98","5.773,34","","0,28%"
"28.11.2023","5.776,56","5.757,42","5.783,63","5.743,32","","0,33%"
"27.11.2023","5.757,42","5.776,74","5.776,74","5.735,09","","-0,33%"
"24.11.2023","5.776,74","5.807,19","5.820,47","5.774,93","","-0,52%"
"23.11.2023","5.807,19","5.800,57","5.816,96","5.770,95","","0,11%"
"22.11.2023","5.800,57","5.790,24","5.806,17","5.770,13","","0,18%"
"21.11.2023","5.790,24","5.841,76","5.842,33","5.776,07","","-0,88%"
"20.11.2023","5.841,76","5.771,10","5.844,21","5.771,10","","1,22%"
"17.11.2023","5.771,10","5.729,71","5.778,80","5.720,95","","0,72%"
"16.11.2023","5.729,71","5.775,38","5.775,88","5.688,68","","-0,79%"
"15.11.2023","5.775,38","5.712,10","5.783,79","5.712,10","","1,11%"
"14.11.2023","5.712,10","5.726,94","5.737,65","5.681,24","","-0,26%"
"13.11.2023","5.726,94","5.618,68","5.726,94","5.607,69","","1,93%"
"10.11.2023","5.618,68","5.630,63","5.647,69","5.609,40","","-0,21%"
"09.11.2023","5.630,63","5.647,95","5.695,36","5.618,67","","-0,31%"
"08.11.2023","5.647,95","5.650,77","5.688,36","5.641,77","","-0,05%"
"07.11.2023","5.650,77","5.575,48","5.656,72","5.569,92","","1,35%"
"06.11.2023","5.575,48","5.620,57","5.661,92","5.559,23","","-0,80%"
"03.11.2023","5.620,57","5.460,65","5.620,71","5.448,88","","2,93%"
"02.11.2023","5.460,65","5.407,50","5.466,83","5.363,16","","0,98%"
